core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
43002c000951343334363138,2019-04-18 22:03:07+00,2019-08-31 23:58:33+00,2019-04-18 22:04:02+00,113670,0.150294712765022,5.61602380907563,5.6201449,-0.295390005714285,-0.2946805,461.034717097713
49001a000951343334363138,2018-06-14 17:03:29+00,2018-11-07 23:16:19+00,2018-07-02 12:40:35+00,49668,3.20880647499396,5.63418313973039,5.632631,-0.297373293668403,-0.3011994,455.216728165475
43002a001451343334363036,2018-06-14 14:00:01+00,2019-08-31 23:59:16+00,2018-07-01 00:00:59+00,254898,0.0331622845216518,5.64781275841701,5.645904,-0.234065202598937,-0.2375071,433.914873722332
35002f001951353339373130,2018-06-18 12:51:17+00,2018-12-20 11:59:57+00,2018-10-17 07:23:56.472+00,33069,6.81514409265475,5.66314967159578,5.665104,-0.285993704056812,-0.2892783,421.379625290643
450053000a51353431383437,2018-06-20 14:51:27+00,2019-08-05 09:12:01+00,2018-07-02 08:33:02.792+00,216472,0.271406925607007,5.65907722897341,5.662227,-0.269920663778162,-0.2720457,418.904105402669
510042001951353339373130,2018-06-19 16:52:18+00,2018-12-14 13:23:40+00,2018-07-01 00:00:18+00,66057,7.87692447431763,5.65853875439628,5.65538,-0.295850809603036,-0.2977016,403.628764816929
21002c000247373334363431,2019-07-02 21:13:38+00,2019-08-31 23:59:15+00,2019-07-09 12:24:40+00,48154,0.304585288864892,5.64327882334603,5.646727,-0.302773297540699,-0.3029558,380.693575427622
400063000951343334363138,2018-06-18 15:58:55+00,2018-12-20 06:10:19+00,2018-07-01 00:01:17+00,63204,1.13761787228656,5.60232559597929,5.604877,-0.291269388537613,-0.288974,378.375542745254
230048001151363038393739,2018-06-18 13:16:52+00,2018-12-10 16:16:15+00,2018-10-08 11:37:05.687+00,33217,0.789294638287624,5.66560247770088,5.66885,-0.28634082141484,-0.287311,373.675091752685
440031000347373334363431,2019-04-18 15:43:20+00,2019-08-31 23:59:45+00,2019-04-18 16:11:32+00,92968,0.364684622665864,5.63097364509017,5.6343453,-0.281555766132265,-0.2817478,372.327387659209
1e003d000951343334363138,2018-06-18 13:45:34+00,2018-12-11 23:15:47+00,2018-07-01 00:01:03+00,106664,0.253196954923873,5.67397757809089,5.67722,-0.282581383806311,-0.2833306,366.896110496557
3b004f000151353432393339,2018-06-20 13:58:31+00,2018-07-27 13:15:13+00,2018-07-03 09:50:24+00,22192,10.7725306416727,5.61573319429423,5.618482,-0.243967723679467,-0.2425559,340.691747000917
440029000347373334363431,2019-02-28 22:03:52+00,2019-05-25 08:56:53+00,2019-02-28 22:05:07+00,34334,0.690889497291315,5.60062414152299,5.5991088,-0.251016462643678,-0.2536069,330.871723522198
340050001251363038393739,2019-04-17 09:33:43+00,2019-08-14 13:20:32+00,2019-04-17 09:33:55+00,36313,1.04433673890893,5.65768490853213,5.65538,-0.295789112103029,-0.2977016,330.202215725438
280027001251363038393739,2018-06-20 13:31:29+00,2018-09-12 22:00:24+00,2018-07-01 00:01:39+00,41594,0.873058614223205,5.64193189608326,5.644153,-0.285790442404971,-0.2840552,310.747967724153
36002b000247373334363431,2019-04-17 09:26:22+00,2019-08-31 23:58:33+00,2019-04-17 09:27:10+00,95666,0.106798653649154,5.62557591345203,5.628335,-0.262200046488625,-0.2623532,304.657569145161
51004d000a51353431383437,2018-06-14 12:44:11+00,2018-09-01 11:00:10+00,2018-07-01 00:00:43+00,34084,10.5121758009623,5.6414145901725,5.638711,-0.270267659475173,-0.2698038,302.426128385121
560038000451353431383736,2018-06-20 15:54:38+00,2019-08-31 23:58:40+00,2018-07-01 00:01:01+00,261944,0.549376966069083,5.65615899456096,5.65865,-0.262388407480535,-0.2633111,292.868278938051
