Pair_ID,Origin_ID,Destination_ID,Dist_along_grid_meters,Destination_Rank
3.80025E+23 6/13/18 8:21 - 1.90039E+23 4/23/19 17:11,3.80025E+23 6/13/18 8:21 ,1.90039E+23 4/23/19 17:11,1998.981272,17
3.80025E+23 6/13/18 8:21 - 2c003d000147373334363431 4/23/19 20:16,3.80025E+23 6/13/18 8:21 ,2c003d000147373334363431 4/23/19 20:16,2151.411508,18
3.80025E+23 6/13/18 8:21 - 1d003f000951343334363138 6/14/18 17:52,3.80025E+23 6/13/18 8:21 ,1d003f000951343334363138 6/14/18 17:52,2311.154584,19
3.80025E+23 6/13/18 8:21 - 2e0048000951343334363138 6/13/18 18:11,3.80025E+23 6/13/18 8:21 ,2e0048000951343334363138 6/13/18 18:11,2901.538838,20
3.80025E+23 6/13/18 8:21 - 48001a000951343334363138 6/13/18 17:54,3.80025E+23 6/13/18 8:21 ,48001a000951343334363138 6/13/18 17:54,2924.451574,21
3.80025E+23 6/13/18 8:21 - 250022000f47373334363431 6/11/19 14:47,3.80025E+23 6/13/18 8:21 ,250022000f47373334363431 6/11/19 14:47,2934.357527,22
3.80025E+23 6/13/18 8:21 - 40001f000347373334363431 4/23/19 11:55,3.80025E+23 6/13/18 8:21 ,40001f000347373334363431 4/23/19 11:55,2944.197764,23
3.80025E+23 6/13/18 8:21 - 2f0028001251363038393739 6/20/18 12:55,3.80025E+23 6/13/18 8:21 ,2f0028001251363038393739 6/20/18 12:55,3499.001975,24
3.80025E+23 6/13/18 8:21 - 2b0034000147373334363431 4/15/19 21:45,3.80025E+23 6/13/18 8:21 ,2b0034000147373334363431 4/15/19 21:45,3506.50037,25
3.80025E+23 6/13/18 8:21 - 2e003b001251363038393739 6/20/18 14:06,3.80025E+23 6/13/18 8:21 ,2e003b001251363038393739 6/20/18 14:06,3549.48471,26
3.80025E+23 6/13/18 8:21 - 34002d000d50483553343720 4/19/19 16:33,3.80025E+23 6/13/18 8:21 ,34002d000d50483553343720 4/19/19 16:33,3554.751301,27
3.80025E+23 6/13/18 8:21 - 3.50018E+23 4/23/19 19:44,3.80025E+23 6/13/18 8:21 ,3.50018E+23 4/23/19 19:44,4042.113064,28
3.80025E+23 6/13/18 8:21 - 3b0028000151353432393339 6/19/18 12:56,3.80025E+23 6/13/18 8:21 ,3b0028000151353432393339 6/19/18 12:56,4091.96633,29
3.80025E+23 6/13/18 8:21 - 5.00038E+23 6/19/18 12:22,3.80025E+23 6/13/18 8:21 ,5.00038E+23 6/19/18 12:22,4118.661749,30
3.80025E+23 6/13/18 8:21 - 480039000a51353431383437 6/19/18 10:02,3.80025E+23 6/13/18 8:21 ,480039000a51353431383437 6/19/18 10:02,5177.689059,31
3.80025E+23 6/13/18 8:21 - 380023000a47373334363431 4/23/19 14:37,3.80025E+23 6/13/18 8:21 ,380023000a47373334363431 4/23/19 14:37,5221.933564,32
3.80025E+23 6/13/18 8:21 - 43003a000951343334363138 6/13/18 14:50,3.80025E+23 6/13/18 8:21 ,43003a000951343334363138 6/13/18 14:50,6048.80817,33
3.80025E+23 6/13/18 8:21 - 4.20025E+23 6/13/18 15:30,3.80025E+23 6/13/18 8:21 ,4.20025E+23 6/13/18 15:30,6105.087555,34
