core_1,core_2,logical_grid_distance
530039001351363038393739,430034000347373334363431,4
530039001351363038393739,57003c000151353432393339,4
530039001351363038393739,33005b000e51353433323633,4
530039001351363038393739,2c002a000d47373334363431,4
530039001351363038393739,500038001951353339373130,4
530039001351363038393739,3b0028000151353432393339,4
530039001351363038393739,350018000247373334363431,4
530039001351363038393739,2b0059001251363038393739,4
530039001351363038393739,330053001251363038393739,4
530039001351363038393739,3c0025000e47373432363837,4
530039001351363038393739,3f0060001151363038393739,4
530039001351363038393739,41004f000951343334363138,4
530039001351363038393739,34001b001951353339373130,4
530039001351363038393739,280030001251363038393739,4
530039001351363038393739,2d0031000147373334363431,4
530039001351363038393739,290048001951353339373130,3
530039001351363038393739,36002b000247373334363431,3
530039001351363038393739,3f0049000551353431383736,4
530039001351363038393739,450048001451343334363036,4
530039001351363038393739,33005c000a51353431383437,4
